[0.000000] (-) TimerEvent: {}
[0.000110] (home_robot) JobQueued: {'identifier': 'home_robot', 'dependencies': OrderedDict()}
[0.000140] (home_robot) JobStarted: {'identifier': 'home_robot'}
[0.008625] (home_robot) JobProgress: {'identifier': 'home_robot', 'progress': 'cmake'}
[0.009018] (home_robot) JobProgress: {'identifier': 'home_robot', 'progress': 'build'}
[0.009567] (home_robot) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/dimi/robot_ws/src/home_robot/build/home_robot', '--', '-j16', '-l16'], 'cwd': '/home/dimi/robot_ws/src/home_robot/build/home_robot', 'env': OrderedDict({'LESSOPEN': '| /usr/bin/lesspipe %s', 'CODEX_CI': '1', 'LANGUAGE': 'el_GR:el', 'USER': 'dimi', 'LC_TIME': 'C.UTF-8', 'CODEX_INTERNAL_ORIGINATOR_OVERRIDE': 'Codex Desktop', 'GZ_CONFIG_PATH': '/opt/ros/jazzy/opt/gz_sim_vendor/share/gz:/opt/ros/jazzy/opt/sdformat_vendor/share/gz:/opt/ros/jazzy/opt/gz_gui_vendor/share/gz:/opt/ros/jazzy/opt/gz_transport_vendor/share/gz:/opt/ros/jazzy/opt/gz_rendering_vendor/share/gz:/opt/ros/jazzy/opt/gz_plugin_vendor/share/gz:/opt/ros/jazzy/opt/gz_fuel_tools_vendor/share/gz:/opt/ros/jazzy/opt/gz_msgs_vendor/share/gz:/opt/ros/jazzy/opt/gz_common_vendor/share/gz', 'CODEX_SHELL': '1', 'XDG_SESSION_TYPE': 'wayland', 'LOG_FORMAT': 'json', 'SHLVL': '2', 'LD_LIBRARY_PATH': '/home/dimi/ros2_robot_ws/install/libcreate/lib:/home/dimi/ros2_robot_ws/install/create_msgs/lib:/home/dimi/robot_ws/install/interbotix_perception_msgs/lib:/home/dimi/robot_ws/install/explore_lite_msgs/lib:/home/dimi/robot_ws/install/easy_handeye2_msgs/lib:/opt/ros/jazzy/opt/gz_sim_vendor/lib:/opt/ros/jazzy/opt/gz_sensors_vendor/lib:/opt/ros/jazzy/opt/gz_physics_vendor/lib:/opt/ros/jazzy/opt/sdformat_vendor/lib:/opt/ros/jazzy/opt/rviz_ogre_vendor/lib:/opt/ros/jazzy/lib/x86_64-linux-gnu:/opt/ros/jazzy/opt/gz_gui_vendor/lib:/opt/ros/jazzy/opt/gz_transport_vendor/lib:/opt/ros/jazzy/opt/gz_rendering_vendor/lib:/opt/ros/jazzy/opt/gz_plugin_vendor/lib:/opt/ros/jazzy/opt/gz_fuel_tools_vendor/lib:/opt/ros/jazzy/opt/gz_msgs_vendor/lib:/opt/ros/jazzy/opt/gz_common_vendor/lib:/opt/ros/jazzy/opt/gz_math_vendor/lib:/opt/ros/jazzy/opt/gz_utils_vendor/lib:/opt/ros/jazzy/opt/gz_tools_vendor/lib:/opt/ros/jazzy/opt/gz_ogre_next_vendor/lib:/opt/ros/jazzy/opt/gz_dartsim_vendor/lib:/opt/ros/jazzy/opt/gz_cmake_vendor/lib:/opt/ros/jazzy/lib', 'HOME': '/home/dimi', 'CHROME_DESKTOP': 'chatgpt.desktop', 'CYCLONEDDS_URI': 'file:///home/dimi/.config/cyclonedds.xml', 'DISABLE_AUTO_UPDATE': 'true', 'DESKTOP_SESSION': 'ubuntu', 'GIO_LAUNCHED_DESKTOP_FILE': '/home/dimi/.config/autostart/chatgpt.desktop', 'ROS_PYTHON_VERSION': '3', 'GNOME_SHELL_SESSION_MODE': 'ubuntu', 'GTK_MODULES': 'gail:atk-bridge', 'PAGER': 'cat', 'LC_MONETARY': 'C.UTF-8', 'MANAGERPID': '1793', 'LC_CTYPE': 'C.UTF-8', 'SYSTEMD_EXEC_PID': '2114', 'IM_CONFIG_CHECK_ENV': '1', 'GSM_SKIP_SSH_AGENT_WORKAROUND': 'true', 'NO_COLOR': '1', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'COLORTERM': '', 'GIO_LAUNCHED_DESKTOP_FILE_PID': '2441', 'DEBUGINFOD_URLS': 'https://debuginfod.ubuntu.com', 'IM_CONFIG_PHASE': '1', 'WAYLAND_DISPLAY': 'wayland-0', 'COLCON_PREFIX_PATH': '/home/dimi/robot_ws/install:/home/dimi/ros2_robot_ws/install:/home/dimi/roomba_ws/install', 'ROS_DISTRO': 'jazzy', 'ZSH_TMUX_AUTOSTARTED': 'true', 'LOGNAME': 'dimi', 'DESKTOP_AUTOSTART_ID': '102a96377f2f37f15c178742230149109300000021140016', 'JOURNAL_STREAM': '10:10237', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'PKG_CONFIG_PATH': '/home/dimi/ros2_robot_ws/install/libcreate/lib/x86_64-linux-gnu/pkgconfig:/home/dimi/ros2_robot_ws/install/libcreate/lib/pkgconfig', 'MEMORY_PRESSURE_WATCH': '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome\\x2dsession\\x2dmanager.slice/gnome-session-manager@ubuntu.service/memory.pressure', 'XDG_SESSION_CLASS': 'user', 'RUST_LOG': 'warn', 'USERNAME': 'dimi', 'TERM': 'dumb', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'FC_FONTATIONS': '1', 'PATH': '/home/dimi/.local/bin:/home/dimi/bin:/home/dimi/.codex/tmp/arg0/codex-arg0PvXm3Q:/home/dimi/.cache/codex-runtimes/codex-primary-runtime/dependencies/bin/override:/home/dimi/.local/bin:/home/dimi/bin:/home/dimi/bin:/opt/ros/jazzy/opt/gz_msgs_vendor/bin:/opt/ros/jazzy/opt/gz_tools_vendor/bin:/opt/ros/jazzy/opt/gz_ogre_next_vendor/bin:/opt/ros/jazzy/bin:/home/dimi/.local/bin:/home/dimi/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/home/dimi/.cache/codex-runtimes/codex-primary-runtime/dependencies/bin/fallback:/usr/lib/chatgpt/resources', 'SESSION_MANAGER': 'local/dimi-Default-string:@/tmp/.ICE-unix/2114,unix/dimi-Default-string:/tmp/.ICE-unix/2114', 'CODEX_SESSION_ID': '01a02ac9-4811-7312-869c-bf08a22ad75d', 'INVOCATION_ID': 'acc6534b8a5440689c15f6eca04a0965', 'PAPERSIZE': 'a4', 'XDG_MENU_PREFIX': 'gnome-', 'LC_ADDRESS': 'C.UTF-8', 'GNOME_SETUP_DISPLAY': ':1', 'XDG_RUNTIME_DIR': '/run/user/1000', 'GDK_BACKEND': 'x11', 'DISPLAY': ':0', 'LANG': 'C.UTF-8', 'XDG_CURRENT_DESKTOP': 'ubuntu:GNOME', 'LC_TELEPHONE': 'C.UTF-8', 'RMW_IMPLEMENTATION': 'rmw_cyclonedds_cpp', 'XMODIFIERS': '@im=ibus', 'GH_PAGER': 'cat', 'XDG_SESSION_DESKTOP': 'ubuntu', 'XAUTHORITY': '/run/user/1000/.mutter-Xwaylandauth.KGKGU3', 'LS_COLORS': '', 'SSH_AUTH_SOCK': '/run/user/1000/keyring/ssh', 'LEMONADE_HOST': '0.0.0.0', 'AMENT_PREFIX_PATH': '/home/dimi/ros2_robot_ws/install/sllidar_ros2:/home/dimi/ros2_robot_ws/install/create_robot:/home/dimi/ros2_robot_ws/install/create_bringup:/home/dimi/ros2_robot_ws/install/create_driver:/home/dimi/ros2_robot_ws/install/create_msgs:/home/dimi/ros2_robot_ws/install/create_description:/home/dimi/robot_ws/install/roarm_moveit:/home/dimi/robot_ws/install/roarm_description:/home/dimi/robot_ws/install/home_robot:/home/dimi/robot_ws/install/interbotix_perception_pipelines:/home/dimi/robot_ws/install/interbotix_perception_msgs:/home/dimi/robot_ws/install/explore_lite:/home/dimi/robot_ws/install/explore_lite_msgs:/home/dimi/robot_ws/install/easy_handeye2:/home/dimi/robot_ws/install/easy_handeye2_msgs:/home/dimi/roomba_ws/install/sllidar_ros2:/opt/ros/jazzy', 'LC_MESSAGES': 'el_GR.UTF-8', 'SHELL': '/bin/bash', 'LC_NAME': 'C.UTF-8', 'QT_ACCESSIBILITY': '1', 'NO_AT_BRIDGE': '1', 'GDMSESSION': 'ubuntu', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'CODEX_THREAD_ID': '01a02ac9-4811-7312-869c-bf08a22ad75d', 'LC_MEASUREMENT': 'C.UTF-8', 'LC_IDENTIFICATION': 'C.UTF-8', 'ROS_AUTOMATIC_DISCOVERY_RANGE': 'SUBNET', 'GIT_PAGER': 'cat', 'QT_IM_MODULE': 'ibus', 'PWD': '/home/dimi/robot_ws/src/home_robot/build/home_robot', 'LC_ALL': 'C.UTF-8', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-ubuntu:/etc/xdg', 'ZSH_TMUX_AUTOSTART': 'false', 'XDG_DATA_DIRS': '/usr/share/ubuntu:/usr/share/gnome:/home/dimi/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop', 'PYTHONPATH': '/home/dimi/ros2_robot_ws/install/create_msgs/lib/python3.12/site-packages:/home/dimi/robot_ws/install/home_robot/lib/python3.12/site-packages:/home/dimi/robot_ws/install/interbotix_perception_msgs/lib/python3.12/site-packages:/home/dimi/robot_ws/install/explore_lite_msgs/lib/python3.12/site-packages:/home/dimi/robot_ws/build/easy_handeye2:/home/dimi/robot_ws/install/easy_handeye2/lib/python3.12/site-packages:/home/dimi/robot_ws/install/easy_handeye2_msgs/lib/python3.12/site-packages:/opt/ros/jazzy/lib/python3.12/site-packages', 'LC_NUMERIC': 'C.UTF-8', 'LC_PAPER': 'C.UTF-8', 'COLCON': '1', 'MEMORY_PRESSURE_WRITE': 'c29tZSAyMDAwMDAgMjAwMDAwMAA=', 'CMAKE_PREFIX_PATH': '/home/dimi/ros2_robot_ws/install/sllidar_ros2:/home/dimi/ros2_robot_ws/install/create_robot:/home/dimi/ros2_robot_ws/install/create_bringup:/home/dimi/ros2_robot_ws/install/create_driver:/home/dimi/ros2_robot_ws/install/libcreate:/home/dimi/ros2_robot_ws/install/create_msgs:/home/dimi/ros2_robot_ws/install/create_description:/home/dimi/robot_ws/install/roarm_moveit:/home/dimi/robot_ws/install/roarm_description:/home/dimi/robot_ws/install/home_robot:/home/dimi/robot_ws/install/interbotix_perception_pipelines:/home/dimi/robot_ws/install/interbotix_perception_msgs:/home/dimi/robot_ws/install/explore_lite:/home/dimi/robot_ws/install/explore_lite_msgs:/home/dimi/robot_ws/install/easy_handeye2_msgs:/home/dimi/roomba_ws/install/sllidar_ros2:/opt/ros/jazzy/opt/gz_sim_vendor:/opt/ros/jazzy/opt/gz_sensors_vendor:/opt/ros/jazzy/opt/gz_physics_vendor:/opt/ros/jazzy/opt/sdformat_vendor:/opt/ros/jazzy/opt/gz_gui_vendor:/opt/ros/jazzy/opt/gz_transport_vendor:/opt/ros/jazzy/opt/gz_rendering_vendor:/opt/ros/jazzy/opt/gz_plugin_vendor:/opt/ros/jazzy/opt/gz_fuel_tools_vendor:/opt/ros/jazzy/opt/gz_msgs_vendor:/opt/ros/jazzy/opt/gz_common_vendor:/opt/ros/jazzy/opt/gz_math_vendor:/opt/ros/jazzy/opt/gz_utils_vendor:/opt/ros/jazzy/opt/gz_tools_vendor:/opt/ros/jazzy/opt/gz_ogre_next_vendor:/opt/ros/jazzy/opt/gz_dartsim_vendor:/opt/ros/jazzy/opt/gz_cmake_vendor:/home/dimi/robot_ws/install/easy_handeye2:/opt/ros/jazzy'}), 'shell': False}
[0.081009] (home_robot) StdoutLine: {'line': b'Built target ament_cmake_python_symlink_home_robot\n'}
[0.099292] (-) TimerEvent: {}
[0.199484] (-) TimerEvent: {}
[0.299650] (-) TimerEvent: {}
[0.343927] (home_robot) StdoutLine: {'line': b'running egg_info\n'}
[0.399741] (-) TimerEvent: {}
[0.455857] (home_robot) StdoutLine: {'line': b'writing home_robot.egg-info/PKG-INFO\n'}
[0.456121] (home_robot) StdoutLine: {'line': b'writing dependency_links to home_robot.egg-info/dependency_links.txt\n'}
[0.611359] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/share/home_robot/environment/pythonpath.sh\n'}
[0.611486] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/share/home_robot/environment/pythonpath.dsv\n'}
[0.611815] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot-0.1.0-py3.12.egg-info/PKG-INFO\n'}
[0.611916] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot-0.1.0-py3.12.egg-info/SOURCES.txt\n'}
[0.612018] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot-0.1.0-py3.12.egg-info/dependency_links.txt\n'}
[0.612083] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot-0.1.0-py3.12.egg-info/top_level.txt\n'}
[0.617275] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/__init__.py\n'}
[0.617477] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/acoustic_map.py\n'}
[0.617683] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/api_keys.py\n'}
[0.617773] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/arm_motion.py\n'}
[0.617827] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/arm_settings.py\n'}
[0.617877] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/collision_skirt.py\n'}
[0.617928] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/compass.py\n'}
[0.617976] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/dashboard_i18n.py\n'}
[0.618025] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/desktop.py\n'}
[0.618072] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/diagnostics.py\n'}
[0.618195] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/dock_geometry.py\n'}
[0.618251] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/echo.py\n'}
[0.618300] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/episodic.py\n'}
[0.618348] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/face_identity.py\n'}
[0.618450] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/fall_detect.py\n'}
[0.618521] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/fetch_planner.py\n'}
[0.618567] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/gesture.py\n'}
[0.618615] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/gesture_bindings.py\n'}
[0.618662] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/gesture_vocab.py\n'}
[0.618708] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/grasp_geometry.py\n'}
[0.618753] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/hand_gestures.py\n'}
[0.618800] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/ir_homing.py\n'}
[0.618885] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/joy_cmd_gate.py\n'}
[0.618934] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/keepout_files.py\n'}
[0.618981] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/keepout_toggle.py\n'}
[0.619076] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/llm_quota.py\n'}
[0.619125] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/map_straighten.py\n'}
[0.619172] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/map_walls3d.py\n'}
[0.619219] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/mic_settings.py\n'}
[0.619267] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/motion_confirm.py\n'}
[0.619313] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nerf.py\n'}
[0.619360] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/acoustic_map_node.py\n'}
[0.619406] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/apriltag_relocalizer.py\n'}
[0.619453] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/arm_driver.py\n'}
[0.619550] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/arm_joy_node.py\n'}
[0.619601] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/arm_moveit_bridge.py\n'}
[0.619648] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/arm_scene_obstacles.py\n'}
[0.619695] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/calibrate_odom.py\n'}
[0.619741] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/camera_watchdog_node.py\n'}
[0.619790] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/cluster_detector_node.py\n'}
[0.619835] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/diarization_node.py\n'}
[0.619880] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/doa_node.py\n'}
[0.620081] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/echo_node.py\n'}
[0.620184] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/episodic_memory_node.py\n'}
[0.620264] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/explore_manager_node.py\n'}
[0.620321] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/face_detection_node.py\n'}
[0.620366] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/face_identity_node.py\n'}
[0.620480] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/fall_monitor_node.py\n'}
[0.620546] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/gesture_node.py\n'}
[0.620589] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/global_localizer_node.py\n'}
[0.620630] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/goal_pose_bridge.py\n'}
[0.620698] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/goto_room.py\n'}
[0.620740] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/hand_gesture_node.py\n'}
[0.620781] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/imu_node.py\n'}
[0.620822] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/joy_cmd_gate_node.py\n'}
[0.620878] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/joystick_estop_node.py\n'}
[0.620939] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/llm_bridge_node.py\n'}
[0.620993] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/mission_executor_node.py\n'}
[0.621036] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/nerf_capture_node.py\n'}
[0.621073] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/object_detector.py\n'}
[0.621111] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/object_memory_node.py\n'}
[0.621149] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/obstacle_prediction_node.py\n'}
[0.621318] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/obstacle_safety_node.py\n'}
[0.621389] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/odom_tf_broadcaster.py\n'}
[0.621451] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/open_vocab_detector.py\n'}
[0.621510] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/people_node.py\n'}
[0.621562] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/person_follower_node.py\n'}
[0.621612] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/pick_place_node.py\n'}
[0.621766] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/pose_node.py\n'}
[0.621878] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/pose_saver_node.py\n'}
[0.621931] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/proactive_observer_node.py\n'}
[0.621983] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/rag_memory_node.py\n'}
[0.622158] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/record_location.py\n'}
[0.622216] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/recovery_manager_node.py\n'}
[0.622262] (home_robot) StdoutLine: {'line': b'-- Up-to-date symlink: /home/dimi/robot_ws/src/home_robot/install/home_robot/lib/python3.12/site-packages/home_robot/nodes/room_markers_node.py\n'}
